,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score,Cycle Phase
0,13,86.0,91.0,93.0,86.0,66.0,67.0,65.0,28710.0,33360.0,4650.0,6660.0,16530.0,5520.0,32.0,86.0,180.0,16500.0,6421.0,57.0,27.0,-17.0,19.0,1525.0,78.0,97.0,100.0,25.0,96.0,85.0,337.0,1839.0,6280.0,7846.0,22020.0,31440.0,10980.0,1440.0,1560.0,18960.0,14375.0,0.0,93.0,85.0,80.0,100.0,81.5,99.0,100.0,80.5,86.0,M
1,14,71.0,87.0,97.0,79.0,71.0,67.0,66.0,25020.0,30120.0,5100.0,6360.0,11430.0,7230.0,27.0,83.0,180.0,13950.0,6274.0,57.0,28.0,-27.0,-3.0,1525.0,78.0,83.0,100.0,25.0,96.0,95.0,307.0,1857.0,7964.0,7405.0,29820.0,29580.0,12540.0,3840.0,0.0,10620.0,14375.0,0.0,90.0,73.0,80.0,81.0,81.5,96.0,100.0,80.5,100.0,M
2,16,72.0,86.0,99.0,76.0,70.0,70.0,45.0,25290.0,30720.0,5430.0,6300.0,10800.0,8190.0,23.0,82.0,240.0,15480.0,6015.0,55.0,34.0,-9.0,7.0,15.0,83.0,78.0,78.0,60.0,96.0,96.0,513.0,2079.0,13801.0,12791.0,31500.0,27420.0,16740.0,7140.0,120.0,3480.0,1625.0,2.0,87.0,67.0,77.0,84.0,86.0,100.0,99.0,89.5,100.0,M
3,17,77.0,80.0,80.0,76.0,64.0,83.0,23.0,26370.0,32220.0,5850.0,5850.0,15810.0,4710.0,28.0,82.0,540.0,15990.0,6394.0,58.0,25.0,-8.0,8.0,1525.0,81.0,98.0,100.0,43.0,71.0,95.0,51.0,1528.0,1371.0,1047.0,16980.0,22380.0,4680.0,300.0,0.0,42060.0,121875.0,0.0,75.0,62.0,66.0,74.0,75.5,100.0,92.0,72.0,71.0,M
4,18,93.0,100.0,85.0,90.0,70.0,86.0,57.0,30630.0,34920.0,4290.0,9720.0,15870.0,5040.0,30.0,88.0,630.0,18000.0,6265.0,58.0,26.0,-4.0,2.0,15375.0,78.0,73.0,100.0,43.0,71.0,95.0,239.0,1762.0,6647.0,5681.0,34380.0,36840.0,12120.0,2400.0,60.0,600.0,1375.0,0.0,93.0,98.0,98.0,94.0,79.0,100.0,91.0,88.0,100.0,M
5,20,81.16648130074839,89.71106168019956,94.28893831980044,83.74435794034925,67.61117289975054,67.0,65.3222345799501,27520.954399984104,32315.959960961653,4795.005560977548,6563.329626014967,14886.603642254451,6071.021131714684,30.38882710024946,85.03329626014968,180.0,15678.301821127225,6373.631516747334,57.0,27.32223457995011,-20.222345799501078,11.910839241097632,1525.0,78.0,92.48871588069849,100.0,25.0,96.0,88.22234579950107,327.3329626014968,1844.8002224391018,6822.643032635981,7703.894550242003,24533.42972361084,30840.6436812928,11482.685944722169,2213.362991880258,1057.314055277832,16272.563603216102,14375.0,0.0,92.03329626014968,81.1331850405987,80.0,93.87754298094795,81.5,98.03329626014968,100.0,80.5,90.51128411930151,M
6,21,71.87291565152051,87.23277750707214,96.76722249292786,79.40736063737624,70.70902811615983,67.0,65.94180562323197,25234.737250274047,30308.549780728434,5073.812530454385,6377.458313030411,11726.791321516977,7130.487615726661,27.290971883840175,83.1745831303041,180.0,14098.395660758488,6282.554573384901,57.0,27.941805623231964,-26.41805623231965,-1.719723711103235,1525.0,78.0,83.81472127475249,100.0,25.0,96.0,94.41805623231966,308.74583130304103,1855.9525012181753,7866.000669522629,7430.663720154704,29366.08386120933,29688.241540788546,12449.216772241865,3700.3334957567163,90.78322775813444,11105.341102245411,14375.0,0.0,90.1745831303041,73.69833252121641,80.0,82.10569315859266,81.5,96.1745831303041,100.0,80.5,99.18527872524751,M
7,22,82.62794766462122,93.87105998363981,90.65748309202479,84.81397383231061,70.4714569243354,77.04231843762742,61.24311231901859,27985.126654478412,32657.006763190086,4671.8801087116735,8135.90473423306,13776.731255950828,6072.490664294524,28.585629226993802,85.642715378323,417.84438404907047,16090.599456441634,6269.243112319019,57.5285430756646,26.9429138486708,-14.843509259714176,-0.35728462167699515,8845.321597954724,78.0,77.71456924335399,100.0,34.513775361962814,82.78642310838498,95.0,271.05907085480715,1806.788407811863,7267.90876934972,6493.791737554227,32230.156425030582,33417.222729325,12318.011908220868,3078.8979710429744,31.71258453987606,5323.998381840698,7503.940016360187,0.0,91.5856292269938,86.21357689161502,89.51377536196281,87.87105998363981,80.1786423108385,98.1141723026584,95.24311231901859,84.4640730674845,100.0,M
8,23,83.79099995048139,90.41093332012838,93.58906667987162,84.96913331022465,66.73633334983954,67.0,65.1472666699679,28166.585987818424,32882.85598930398,4716.270001485558,6615.819999009628,15778.939983163677,5771.826005645121,31.263666650160467,85.55819999009628,180.0,16124.469991581838,6399.351799514718,57.0,27.147266669967905,-18.472666699679067,15.760133260706048,1525.0,78.0,94.9382666204493,100.0,25.0,96.0,86.47266669967907,332.5819999009628,1841.6508000594224,6527.997072225955,7781.055398544153,23168.680025749672,31166.083993859695,11209.736005149934,1793.4400079229763,1330.2639948500653,17731.795972467655,14375.0,0.0,92.55819999009628,83.23279996038512,80.0,97.20193327060977,81.5,98.55819999009628,100.0,80.5,88.0617333795507,M
9,24,71.79125058808269,86.20874941191731,98.58250117616537,76.62624823575194,70.20874941191731,69.37375176424806,49.38373765026363,25233.637658782325,30594.75035284961,5361.112694067286,6312.524964715039,10931.51212950791,7989.600564559377,23.83499764766926,82.20874941191731,227.47503528496105,15160.613399766507,6069.066097686585,55.417498823834634,32.747503528496104,-12.757489414511685,4.912505880826842,330.2116119951468,81.95625294041342,79.04374705958658,82.59248706218095,52.69377058289395,96.0,95.79125058808269,469.99762114503295,2032.6576305543558,12582.529682638627,11666.675667413338,31149.30098797891,27870.898729741402,15863.252469947274,6451.126940672858,94.9500705699221,4970.470801089635,4286.555001945776,1.5825011761653685,87.62624823575194,68.25249647150389,77.62624823575194,83.37375176424806,85.06062764637208,99.16500235233073,99.20874941191731,87.62125529274415,100.0,M
