,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score,Cycle Phase
0,72,62,81,87,93,61,78,76,22530,25380,2850,5910,11490,5130,33,89,420,12780,6585,58,20,23,24,1625,51,87,100,1,1,18,211,1696,6234,5646,22260,44040,13740,1200,60,5100,13125,0,86,65,,100.0,,85,91,,97,LP
1,81,76,96,85,81,67,81,100,26250,31200,4950,7290,13950,5010,26,84,510,15450,6967,64,21,47,44,1675,60,79,100,25,1,44,439,2068,12635,10552,31020,20820,29760,2700,60,2040,1625,0,66,88,,100.0,,65,38,,100,LP
2,69,56,75,96,72,71,70,70,20970,26220,5250,5490,9480,6000,24,80,270,11880,6621,59,23,7,38,16125,66,100,100,25,1,63,264,1769,7857,6971,16980,28980,12420,2640,0,25380,1375,0,73,58,65.0,80.0,95.0,99,83,51.0,100,LP
3,79,78,99,80,95,67,72,73,26820,29820,3000,8580,13500,4740,29,90,330,14640,6295,56,29,-17,2,15625,68,59,95,25,40,95,244,1798,7629,5773,40980,29580,13020,2520,0,300,140625,1,92,83,,84.0,,99,100,,100,LP
4,77,66,96,85,96,70,67,91,23700,25980,2280,7470,11190,5040,25,91,180,12750,6487,59,22,-2,2,155,68,66,100,25,40,84,445,2022,7808,10752,36060,26520,16620,4980,180,2040,15625,0,84,78,,85.0,,98,82,,95,LP
5,70,68,72,72,62,68,67,83,24030,31560,7530,5280,14460,4290,31,76,210,15120,6769,61,20,4,7,15375,80,87,100,43,71,96,350,1888,10438,8633,23880,34020,13800,4260,120,10320,146875,0,69,60,70.0,73.0,64.0,100,64,63.0,100,LP
6,85,91,100,92,69,66,83,89,30030,37800,7770,8820,15750,5460,33,79,540,18780,6583,61,27,4,16,155,89,75,95,78,100,98,305,1838,8133,7611,32040,34500,15000,2880,60,1920,14375,1,83,98,84.0,92.0,76.0,100,65,72.0,100,LP
7,58,59,92,31,55,73,64,21,21840,29820,7980,6690,13230,1920,30,73,150,12090,7226,66,17,-11,1,15375,92,60,100,95,100,97,235,1752,7070,5721,39660,34440,9360,2880,60,0,134375,0,59,30,75.0,90.0,81.0,100,22,51.0,76,LP
8,79,90,96,79,86,69,67,48,29820,34500,4680,7530,17610,4680,30,86,180,17400,6317,57,33,-2,7,155,94,74,100,95,100,97,362,1905,10841,8668,33300,35040,13800,4080,180,0,146875,0,86,83,84.0,86.0,85.0,100,100,72.0,100,LP
9,62,47,52,79,51,65,70,100,18870,26760,7890,3810,10380,4680,29,71,240,11520,6418,56,28,13,15,155,89,74,95,78,100,95,474,2056,13552,11812,30480,25800,18360,5340,120,6300,159375,1,71,40,69.0,,96.0,93,100,81.0,43,LP
10,81,87,96,99,76,69,70,57,29040,35400,6360,7530,13440,8070,27,82,240,15930,6152,55,35,2,17,155,87,83,100,60,100,97,347,1875,9610,8449,28560,36480,13980,4080,60,3240,14375,0,86,88,76.0,77.0,87.0,100,99,89.0,88,LP
11,81,78,81,96,81,72,86,86,26640,31620,4980,5910,14370,6360,25,84,1200,15810,6306,57,28,27,27,155,83,62,100,60,100,97,215,1767,4952,5165,39480,27900,15000,1380,120,2520,1375,0,89,88,78.0,90.0,85.0,81,100,90.0,100,LP
12,80,79,91,96,79,70,89,64,27000,32700,5700,6630,14130,6240,25,83,1140,16560,6177,55,28,-11,19,15375,87,83,100,60,100,98,461,2033,11491,11400,29460,29220,18900,5280,180,3360,159375,0,86,85,80.0,87.0,88.0,100,99,91.0,71,LP
13,80,86,91,93,86,66,67,65,28710,33360,4650,6660,16530,5520,32,86,180,16500,6421,57,27,-17,19,1525,78,97,100,25,96,85,337,1839,6280,7846,22020,31440,10980,1440,1560,18960,14375,0,93,85,,100.0,,99,100,,86,M
14,75,71,87,97,79,71,67,66,25020,30120,5100,6360,11430,7230,27,83,180,13950,6274,57,28,-27,-3,1525,78,83,100,25,96,95,307,1857,7964,7405,29820,29580,12540,3840,0,10620,14375,0,90,73,,,,96,100,,100,M
15,70,68,85,84,55,67,72,66,24180,33240,9060,6240,12960,4980,32,73,300,16800,6414,60,29,-1,-1,15625,78,62,100,43,96,87,354,1912,8343,8416,39300,28320,14520,3240,300,720,15,0,83,60,80.0,91.0,98.0,100,73,91.0,100,LP
16,74,70,95,94,69,69,78,60,24600,31200,6600,7050,11970,5580,30,79,450,15480,6226,57,28,-1,2,15125,79,73,95,43,96,97,466,2018,12034,11187,33960,30480,15960,5100,540,360,15625,1,86,70,78.0,74.0,95.0,100,100,91.0,100,FP
17,80,83,100,68,97,69,64,79,28110,30540,2430,8790,15270,4050,30,92,150,14910,6432,60,22,-9,5,15125,85,67,100,60,100,99,442,2001,12347,10917,37080,29100,13140,5460,240,1380,15625,0,87,85,83.0,99.0,98.0,100,73,86.0,100,FP
18,57,33,28,80,65,66,86,100,15330,19920,4590,2160,8430,4740,29,77,630,9540,6534,57,23,-9,6,14875,81,41,100,60,100,98,190,1762,5068,4339,36480,6420,10740,1920,0,30840,140625,0,63,28,62.0,70.0,87.0,100,100,81.0,1,FP
19,82,90,100,57,98,69,81,69,29730,31800,2070,10080,16230,3420,27,93,480,15930,6672,61,19,5,1,15375,96,85,95,95,100,97,414,1977,10650,9995,28500,29340,18960,4140,240,5220,153125,1,79,90,71.0,97.0,91.0,100,64,64.0,100,FP
20,73,62,81,90,65,69,89,81,22650,29340,6690,5910,11400,5340,26,77,1110,13620,6956,62,19,-4,1,15625,96,85,100,95,100,98,530,2186,12901,12268,25740,14460,25980,5280,420,14520,171875,0,62,67,67.0,82.0,85.0,100,56,55.0,21,FP
21,73,72,86,99,76,70,70,45,25290,30720,5430,6300,10800,8190,23,82,240,15480,6015,55,34,-9,7,15,83,78,78,60,96,96,513,2079,13801,12791,31500,27420,16740,7140,120,3480,1625,2,87,67,,84.0,,100,99,,100,M
22,71,77,80,80,76,64,83,23,26370,32220,5850,5850,15810,4710,28,82,540,15990,6394,58,25,-8,8,1525,81,98,100,43,71,95,51,1528,1371,1047,16980,22380,4680,300,0,42060,121875,0,75,62,,74.0,,100,92,,71,M
23,85,93,100,85,90,70,86,57,30630,34920,4290,9720,15870,5040,30,88,630,18000,6265,58,26,-4,2,15375,78,73,100,43,71,95,239,1762,6647,5681,34380,36840,12120,2400,60,600,1375,0,93,98,98.0,94.0,79.0,100,91,88.0,100,M
24,83,95,97,61,90,67,67,85,31140,35280,4140,7650,19830,3660,28,88,180,16830,6305,57,23,-18,-1,155,81,79,95,43,96,96,433,2035,10790,10355,28380,16560,17400,5460,60,18540,159375,1,94,92,100.0,91.0,89.0,99,100,83.0,93,FP
25,69,57,58,97,55,77,91,72,21420,29400,7980,4260,10020,7140,28,73,1050,12780,6307,56,26,-18,-6,15125,72,61,100,25,71,97,382,1969,10897,9389,39720,25740,16200,4140,60,540,153125,0,82,57,90.0,96.0,99.0,99,100,84.0,35,FP
26,80,83,99,62,97,76,72,61,28020,30360,2340,8460,15840,3720,29,92,300,14910,631,58,25,-16,-7,15,74,61,95,25,96,97,290,1827,7109,7220,39360,29400,10980,4020,0,2640,140625,1,88,85,92.0,74.0,92.0,99,91,83.0,100,FP
27,76,91,100,62,76,63,89,24,30030,36720,6690,9390,16950,3690,33,82,1110,18780,663,60,23,4,3,1575,74,76,100,25,100,97,267,1813,7743,6392,32880,36420,14580,2520,0,0,140625,0,86,75,98.0,94.0,94.0,100,73,78.0,91,FP
28,81,91,98,83,74,62,91,50,30090,37260,7170,8070,17130,4890,34,81,720,18600,6784,60,24,11,15,15875,77,72,100,25,100,97,242,1765,7444,5783,23100,22080,8280,3000,60,29880,1375,0,83,88,100.0,92.0,92.0,95,73,76.0,36,FP
29,63,62,90,35,74,66,67,52,22650,27840,5190,6600,13890,2160,26,81,210,14490,6868,61,22,-6,13,1625,75,63,100,25,100,96,295,1830,8337,7505,39060,31500,11460,3720,0,660,140625,0,70,43,90.0,,99.0,100,64,70.0,42,O
